question,answer,source_file
Phát biểu nào sau đây là không đúng khi nói về điện từ trường,"['A. Khi một điện trường biến thiên theo thời gian, nó sinh ra một từ trường xoáy.', 'B. Điện trường xoáy là điện trường có các đường sức là những đường cong.', 'C. Khi một từ trường biến thiên theo thời gian, nó sinh ra một điện trường.', 'D. Từ trường xoáy có các đường sức từ bao quanh các đường sức điện.', 'E. Điện trường xoáy có các đường sức là những đường cong kín, không phải chỉ là những đường cong.']",01_TdtntTayNguyen_Ntt.docx
Thông tin đúng khi so sánh nhiệt độ T1 và T2 là,"['A. do Từ kẻ đường thẳng song song với trục Op, cắt hai đường đẳng nhiệt tại hai vị trí (1) và (2) . Khi đó ta có nên các phân tử chất khí ở trạng thái (2) chuyển động nhanh hơn các phân tử chất khí ở trạng thái (1) nên', 'B. Trong quá trình truyền sóng điện từ, vector cường độ điện trường và vector cảm ứng từ luôn', 'A. có phương vuông góc với nhau và vuông góc với phương truyền sóng.', 'B. có phương song song và cùng chiều.', 'C. có phương song song và ngược chiều.', 'D. có phương trùng với phương truyền sóng.', 'G. Trong quá trình truyền sóng điện từ, vector cường độ điện trường và vector cảm ứng từ luôn có phương vuông góc với nhau và vuông góc với phương truyền sóng']",01_TdtntTayNguyen_Ntt.docx
"Trong hai nhiệt lượng kế có chứa hai chất lỏng khác nhau ở hai nhiệt độ ban đầu khác nhau. Người ta dùng một nhiệt kế, lần lượt nhúng đi nhúng lại vào nhiệt lượng kế 1 rồi vào nhiệt lượng kế 2. Số chỉ của nhiệt kế lần lượt là 80°C, 16°C, 78°C, 19°C. Đến lần nhúng tiếp theo nhiệt kế chỉ","['A. 75°', 'C.', 'B. 76°', 'C.', 'C. 77°', 'C.', 'D. 78°C.']",01_TdtntTayNguyen_Ntt.docx
"Cuộn thứ cấp của một máy biến áp có 800 vòng. Từ thông trong lõi biến thế biến thiên với tần số 50 Hz và giá trị từ thông cực đại qua một vòng dây bằng 2,4 mWb. Suất điện động hiệu dụng cuộn thứ cấp có giá trị xấp xỉ bằng","['A. 220 V.', 'B. 456,8 V.', 'C. 426,5 V.', 'D. 140 V.', 'E. Do cấu tạo của máy biến áp, hầu như mọi đường sức từ chỉ chạy trong lõi biến áp nên từ thông qua mỗi vòng dây ở cả hai cuộn bằng nhau, suất điện động cảm ứng trong mỗi vòng dây cũng bằng nhau.']",01_TdtntTayNguyen_Ntt.docx
"Trong việc truyền tải điện năng đi xa, để giảm công suất tiêu hao trên đường dây lần thì cần phải","['A. giảm điện áp xuống n lần.', 'B. giảm điện áp xuống lần.', 'C. tăng điện áp lên n lần.', 'D. tăng điện áp lên lần.']",01_TdtntTayNguyen_Ntt.docx
Pôlôni phóng xạ và biến đổi thành chì Pb. Biết khối lượng các hạt nhân P0; ; Pb lần lượt là: và . Năng lượng tỏa ra khi một hạt nhân pôlôni phân rã xấp xỉ bằng,"['A. .', 'B. .', 'C. .', 'D. .']",01_TdtntTayNguyen_Ntt.docx
Phát biểu nào sao đây là SAI khi nói về độ phóng xạ (hoạt độ phóng xạ) ?,"['A.Độ phóng xạ là đại lượng đặc trưng cho tính phóng xạ mạnh hay yếu của một lượng chất phóng xạ.', 'B. Đơn vị đo độ phóng xạ là Becquerel', 'C. Với mỗi lượng chất phóng xạ xác định thì độ phóng xạ tỉ lệ với số nguyên tử của lượng chất đó.', 'D. Độ phóng xạ của một lượng chất phóng xạ phụ thuộc nhiệt độ của lượng chất đó.']",01_TdtntTayNguyen_Ntt.docx
"Để đặc trưng cho tính phóng xạ mạnh hay yếu của một lượng chất phóng xạ, người ta dùng đại lượng độ phóng xạ (hay hoạt độ phóng xạ), kí hiệu là H, có giá trị bằng số hạt nhân phân rã trong một giây.","['A. Đơn vị đo độ phóng xạ là Becquerel, kí hiệu là', 'B. 1 phân rã / 1 giây.']",01_TdtntTayNguyen_Ntt.docx
"Trong thực tế, độ phóng xạ còn được đo bằng đơn vị Curie, kí hiệu là",['A. Độ phóng xạ với là hằng số phóng xạ'],01_TdtntTayNguyen_Ntt.docx
Khi nói về khối lượng phân tử của chất khí và thì,"['A. khối lượng phân tử của các khí H2, He,O2 và N2 đều bằng nhau.', 'B. khối lượng phân tử của O2 nặng nhất trong 4 loại khí trên.', 'C. khối lượng phân tử của N2 nặng nhất trong 4 loại khí trên.', 'D. khối lượng phân tử của He nhẹ nhất trong 4 loại khí trên.']",01_TdtntTayNguyen_Ntt.docx
Khi ấn từ từ pit tông xuống để nén khí trong xi lanh thì,"['A. nhiệt độ khí thay đổi.', 'B. áp suất khí tăng, thể tích khí tăng.', 'C. áp suất tỉ lệ thuận với thể tích.', 'D. áp suất khí tăng, thể tích khí giảm.', 'E. Trường hợp thỏa mãn quá trình đẳng nhiệt khi pit tông nén từ từ.']",01_TdtntTayNguyen_Ntt.docx
Hạt nhân X phóng xạ biến đổi thành hạt nhân bên Y. Ban đầu (t = 0) có một mẫu chất X nguyên chất. Tại thời điểm và tỉ số giữa số hạt nhân Y và số hạt nhân X ở trong mẫu tương ứng là 2 và 3. Tại thời điểm tỉ số đó là,"['A. 17.', 'B. 575.', 'C. 107.', 'D. 72.', 'E. Phương trình phóng xạ: tia phóng xạ.']",01_TdtntTayNguyen_Ntt.docx
"Pôlôni là chất phóng xạ có chu kì bán rã ngày và biến đổi thành hạt nhân chì. Vào lúc ngày một mẫu phóng xạ có khối lượng được phát hiện, trong đó khối lượng của mẫu là chất phóng xạ pôlôni phần còn lại không có tính phóng xạ. Giả sử toàn bộ các hạt sinh ra trong quá trình phóng xạ đều thoát ra khỏi mẫu. Lấy khối lượng của các hạt nhân bằng số khối của chúng tính theo đơn vị Vào ngày nào sau đây khối lượng của mẫu có giá trị là","['A. 16/2/2024', 'B. 14/2/2024', 'C. 28/4/2024', 'D. 20/12/2024']",01_TdtntTayNguyen_Ntt.docx
"Trong một ngày, một học sinh theo dõi nhiệt độ không khí trong nhà và lập được bảng bên.","['A. a. Nhiệt độ lúc 9 giờ là 270C.', 'B. b. Nhiệt độ đạt 310C vào lúc 18 giờ.', 'C. c. Lúc 10 giờ thì nhà nóng nhất.', 'D. d. Lúc 7 giờ thì nhiệt độ thấp nhất.', 'E. b. Phát biểu này sai. Nhiệt độ đạt 310C vào lúc 12 giờ.', 'F. c. Phát biểu này sai. Lúc 12 giờ thì nhà nóng nhất.', 'G. d. Phát biểu này đúng.']",01_TdtntTayNguyen_Ntt.docx
Khi tấm kim loại bằng đồng dao động trong từ trường giữa hai cực của một nam châm chữ U.,"['A. a. Trong tấm kim loại xuất hiện dòng điện Foucault.', 'B. b. Dòng điện trong tấm kim loại là dòng điện cảm ứng.', 'C. c. Nhiệt độ của tấm kim loại giảm dần.', 'D. d. Dao động của tấm kim loại là dao động tắt dần.', 'E. a. Phát biểu này đúng. Do tấm kim loại dao động trong từ trường nên trong tấm kim loại xuất hiện dòng điện Foucault.', 'F. b. Phát biểu này đúng. Dòng điện Foucault là dòng điện cảm ứng, do đó dòng điện trong tấm kim loại là dòng điện cảm ứng.', 'G. c. Phát biểu này sai. Dòng điện Foucault có tác dụng tỏa nhiệt làm cho tấm kim loại nóng lên, nhiệt độ tăng.', 'H. d. Phát biểu này đúng. Dòng điện Foucault là dòng điện cảm ứng, do đó dòng điện trong tấm kim loại là dòng điện cảm ứng.']",01_TdtntTayNguyen_Ntt.docx
Một hỗn hợp khí helium và argon ở áp suất và nhiệt độ khối lượng riêng Biết khối lượng mol,"['A. a. Khối lượng khí Argon trong hỗn hợp là', 'B. b. Số phân tử Argon trong hỗn hợp khí là', 'C. c. Khối lượng khí Helium trong hỗn hợp khí là', 'D. d. Số phân tử Helium trong hỗn hợp khí là']",01_TdtntTayNguyen_Ntt.docx
"Gọi là khối lượng khí He và Ar trong hỗn hợp, ta có","['A. Áp suất riêng phần của khí helium', 'B. Áp suất riêng phần của khí Argon']",01_TdtntTayNguyen_Ntt.docx
Theo định luật Dalton ta có,"['A. Kết hợp (1) với (3)', 'B. b. Phát biểu này sai.']",01_TdtntTayNguyen_Ntt.docx
Số phân tử Argon trong 1 hỗn hợp khí,['A. c. Phát biểu này đúng.'],01_TdtntTayNguyen_Ntt.docx
Khối lượng khí Helium trong hỗn hợp khí là,['A. d. Phát biểu này sai.'],01_TdtntTayNguyen_Ntt.docx
Uranium có chu kì bán rã là năm. Khi phóng xạ Uranium biến thành Thorium Ban đầu có Uranium.,"['A. a. Hạt nhân Thorium bền hơn hạt nhân Uranium', 'B. b. Khối lượng Uranium còn lại sau năm là', 'C. c. Số hạt nhân Uranium còn lại sau năm là 3,7265.1021 hạt nhân.', 'D. d. Tỉ số giữa số hạt nhân Uranium còn lại và số hạt nhân Thorium tạo thành sau năm là', 'E. b. Phát biểu này đúng.', 'F. c. Phát biểu này sai.']",01_TdtntTayNguyen_Ntt.docx
Số hạt nhân Uranium ban đầu:,['A. hạt.'],01_TdtntTayNguyen_Ntt.docx
Số hạt nhân Uranium còn lại sau năm:,"['A. hạt.', 'B. d. Phát biểu này đúng.']",01_TdtntTayNguyen_Ntt.docx
"Số hạt nhân Thorium có được là do Uranium đã phân rã, do đó",['A. Suy ra'],01_TdtntTayNguyen_Ntt.docx
"Tính nhiệt lượng (theo đơi vị kJ) cần cung cấp cho miếng nhôm khối lượng 100 gam ở nhiệt độ 200C, để nó hóa lỏng hoàn toàn ở nhiệt độ 6580C. Biết nhôm có nhiệt dung riêng 896 J/kg.K và nhiệt nóng chảy 39.104 J/kg.",['A. Nhiệt lượng cần cung cấp'],01_TdtntTayNguyen_Ntt.docx
"Một hỗn hợp phóng xạ có hai chất phóng xạ X và Y. Biết chu kì bán rã của X và Y lần lượt là và , và lúc đầu số hạt X bằng số hạt Y. Tính khoảng thời gian theo đơn vị h để số hạt nguyên chất của hỗn hợp chỉ còn một nửa số hạt lúc đầu. Kết quả làm tròn đến hai chữ số sau dấu phẩy.",['A. .'],01_TdtntTayNguyen_Ntt.docx
Một bình cách nhiệt nhẹ chứa nước ở nhiệt độ t0 = 20°,"['C. Người ta lần lượt thả vào bình này những quả cầu giống nhau đã được đốt nóng đến 100°', 'C. Sau khi thả quả cầu thứ nhất thì nhiệt độ của nước trong bình khi cân bằng nhiệt là t₁ = 40°', 'C. Bỏ qua sự trao đổi nhiệt với bình và môi trường. Giả thiết nước không bị tràn ra ngoài và không tính đến sự bay hơi của nước. Cần phải thả bao nhiêu quả cầu để nhiệt độ của nước trong bình khi cân bằng nhiệt là 90°C?', 'D. Gọi nhiệt dung mỗi quả cầu là Cq và nhiệt dung của nước là Cn']",01_TdtntTayNguyen_Ntt.docx
"Một sóng vô tuyến và một sóng cơ có cùng tần số, khi truyền trong không khí tốc độ hai sóng lần lượt là và Tỉ số của bước sóng giữa sóng vô tuyến và sóng cơ bằng bao nhiêu?",['A. Từ'],01_TdtntTayNguyen_Ntt.docx
"Cách đây t năm, tỉ lệ số hạt và là nên ta có:","['A. Lập tỉ số ta được:', 'B. Từ đó tỉ năm.', 'C. --------------------- HẾT ------------------------']",01_TdtntTayNguyen_Ntt.docx
Câu 1. Chất lỏng và chất khí có chung đặc điểm nào sau đây?,"['A. Luôn chiếm đầy thể tích bình chứa.', 'B. Không nén được.', 'C. Có thể chảy thành dòng.', 'D. Có các phân tử ở những vị trí cố định.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 2. Một quả bong bóng chứa một lượng không khí nhất định. Cách nào sau đây làm tăng nội năng của không khí trong quả bong bóng?,"['A. Đặt quả bong bóng vào ngăn mát tủ lạnh.', 'B. Cọ xát quả bong bóng vào tóc.', 'C. Dẫn toàn bộ không khí trong quả bong bóng sang một bình đựng khác.', 'D. Xả bớt không khí trong quả bong bóng ra ngoài.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 3. Nhiệt hóa hơi riêng của một chất lỏng là,"['A. nhiệt lượng cần để làm cho 1 kg chất đó nóng chảy hoàn toàn ở nhiệt độ nóng chảy .', 'B. nhiệt lượng cần để làm cho 1 kg chất lỏng đó hóa hơi hoàn toàn ở nhiệt độ xác định .', 'C. nhiệt lượng cần để làm cho 1 kg chất đó nóng chảy và hóa hơi hoàn toàn ở nhiệt độ xác định .', 'D. nhiệt lượng cần truyền cho 1 kg chất đó để làm cho nhiệt độ của nó tăng thêm 10C .']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
"Câu 4. Trong thang nhiệt độ Kenvin, nhiệt độ của nước đang sôi là","['A. 0 K', 'B. 373 K', 'C. 173 K', 'D. 100 K']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 5. Có 400 cm3 khí lý tưởng ở 00C . Nếu được đun nóng ở áp suất không đổi để nhiệt độ tăng lên đến 100C thì khối khí sẽ chiếm thể tích:,"['A. 415 cm3', 'B. 283cm3', 'C. 278 cm3', 'D. 493 cm3']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Quan hệ giữa V1 và V2 là:,"['A. V1 < V2', 'B. V1 = V2', 'C. V2 = 2V1.', 'D. V1 > V2']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 7. Gọi N là số phân tử khí chứa trong bình kín thể tích V. Công thức nào sau đây không biểu diễn mối quan hệ giữa áp suất p của chất khí tác dụng lên thành bình và động năng trung bình của các phân tử khí?,"['A.', 'B.', 'C. D.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 8. Hai phòng kín có thể tích bằng nhau thông với nhau bằng một cửa mở. Nhiệt độ không khí trong hai phòng khác nhau thì số phân tử trong mỗi phòng so với nhau thì,"['A. bằng nhau.', 'B. ở phòng nóng nhiều hơn.', 'C. ở phòng lạnh nhiều hơn.', 'D. tùy kích thước của cửa.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
"Câu 9. Đặt một kim nam châm song song với dòng điện. Khi cho dòng điện chạy qua dây dẫn, ta thấy","['A. Kim nam châm lệch một góc so với phương ban đầu.', 'B. Kim nam châm đứng yên.', 'C. Kim nam châm quay tròn xung quanh trục.', 'D. Kim nam châm quay trái, quay phải liên tục.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 10. Cách nào sau đây không làm cho từ thông qua tiết diện vòng dây dẫn kín biến thiên?,"['A. Quay vòng dây cắt ngang các đường cảm ứng từ của nam châm vĩnh cửu.', 'B. Dịch chuyển vòng dây trong điện trường đều sao cho các đường sức song song với mặt phẳng vòng dây.', 'C. Đặt mặt phẳng cuộn dây cạnh nam châm điện xoay chiều.', 'D. Cho nam châm vĩnh cửu rơi qua vòng dây.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 11. Một khung dây dẫn gồm 200 vòng có diện tích và mặt phẳng khung dây vuông góc với cảm ứng từ có độ lớn thay đổi từ đến trong 15 ms . Độ lớn suất điện động cảm ứng trong khung dây bằng,"['A. 3,20 V', 'B. 1,02 V', 'C. 2,50 V', 'D. 7,01 V']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
"Câu 12. Điện áp hiệu dụng thông thường ở mạng điện gia đình là 220 V , điện áp cực đại là","['A. 440 V .', 'B. 311 V .', 'C. 156 V .', 'D. 110 V .']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 13. Một dây dẫn bằng sắt được uốn thành một vòng tròn và đang được đặt trong vùng từ trường đều với các đường sức từ hướng vuông góc với mặt phẳng vòng dây như hình dưới. Trường hợp nào dưới đây trong vòng tròn không xuất hiện dòng điện cảm ứng,"['A. Độ lớn cảm ứng từ được điều chỉnh giảm dần theo thời gian .', 'B. Độ lớn cảm ứng từ được điều chỉnh tăng dần theo thời gian.', 'C. Từ vị trí ban đầu, tịnh tiến vòng kim loại sang trái (vòng kim loại vẫn nằm trong vùng từ trường).', 'D. Quay vòng dây quanh trục vuông góc với các đường sức.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
Câu 14. Sóng điện từ nào sau đây được dùng để kiểm tra hành lí ở sân bay,"['A. Tiam Gamma.', 'B. Tia X.', 'C. Tia hồng ngoại. D.Tia tử ngoại.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
"Câu 15. Hạt nhân ; có độ hụt khối là 0,0627 amu. Cho khối lượng của proton và notron lần lượt là 1,0073 amu và 1,0087 amu. Khối lượng của hạt nhân là","['A. 90,068 amu.', 'B. 5,0090 amu.', 'C. 9,0100 amu.', 'D. 5,0086 amu.']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
"Câu 16. Cho một hạt neutron có động năng lớn đến bắn phá hạt nhân đang đứng yên để tạo ra phản ứng phân hạch: . Trong phản ứng phân hạch này, năng lượng của phản ứng được xác định bằng hiệu của năng lượng liên kết giữa các hạt nhân sản phẩm với các hạt nhân tham gia phản ứng. Biết năng lượng liên kết riêng của là 7,59MeV/nucleon, là 8,29MeV/nucleon là 8,59MeV/nucleon. Năng lượng của phản ứng tỏa ra bằng .","['A. 175,13 MeV', 'B. 123,23 MeV', 'C. 120,25 MeV', 'D. 184,41 MeV']",03_Thpt-Victory_ThptNguyenVanCu-LongChau.docx
